City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
117,Blind River,46.1834,-82.9582,62.85,overcast clouds,48,100,7.02,CA
118,Provideniya,64.3833,-173.3,28.63,scattered clouds,86,37,4.16,RU
119,Lerwick,60.1545,-1.1494,50.36,overcast clouds,84,100,26.02,GB
120,Amahai,-3.3333,128.9167,77.18,overcast clouds,89,100,1.63,ID
121,Hasaki,35.7333,140.8333,64.29,scattered clouds,75,33,15.14,JP
122,Ponta Do Sol,32.6667,-17.1,74.71,broken clouds,73,63,4.63,PT
123,Hit,33.6416,42.8251,82.18,clear sky,13,0,9.69,IQ
124,Taoudenni,22.6783,-3.9836,100.63,few clouds,7,17,8.7,ML
125,Raymond,43.9015,-70.4703,70.68,overcast clouds,69,96,11.43,US
126,Namatanai,-3.6667,152.4333,79.03,light rain,81,94,3.36,PG
127,Abnub,27.2696,31.1511,80.82,clear sky,31,0,8.46,EG
128,Codrington,-38.2667,141.9667,48.76,overcast clouds,72,100,6.76,AU
129,Adrar,20.5022,-10.0711,98.2,clear sky,8,0,7.65,MR
130,Sembakung,3.8167,117.25,78.73,few clouds,98,21,1.48,ID
131,Bredasdorp,-34.5322,20.0403,56.52,few clouds,77,15,5.75,ZA
132,Kainantu,-6.2887,145.8655,60.55,moderate rain,98,100,1.45,PG
133,Penjamo,20.4333,-101.7333,73.65,overcast clouds,54,85,2.13,MX
134,Vao,-22.6667,167.4833,67.35,few clouds,73,16,8.68,NC
135,Tuktoyaktuk,69.4541,-133.0374,32.0,broken clouds,80,75,11.5,CA
136,Kemptville,45.0168,-75.641,63.61,overcast clouds,96,100,2.3,CA
137,Castro,-24.7911,-50.0119,84.6,few clouds,31,21,4.23,BR
138,Villazon,-22.0866,-65.5942,70.03,clear sky,14,0,11.01,BO
139,Geraldton,-28.7667,114.6,52.21,scattered clouds,93,36,8.05,AU
140,Kalabo,-14.97,22.6814,75.63,clear sky,21,4,1.88,ZM
141,Roma,43.2128,-75.4557,77.86,overcast clouds,64,100,1.99,US
142,Pingliang,35.5392,106.6861,57.31,overcast clouds,89,100,1.97,CN
143,Beringovskiy,63.05,179.3167,35.38,scattered clouds,71,33,2.21,RU
144,De Aar,-30.6497,24.0123,70.52,clear sky,19,7,12.88,ZA
145,Abha,18.2164,42.5053,70.05,clear sky,15,0,5.75,SA
146,Wasilla,61.5814,-149.4394,38.52,clear sky,68,8,1.99,US
147,Raub,3.7899,101.857,74.3,overcast clouds,98,100,1.63,MY
148,Kalmunai,7.4167,81.8167,83.03,overcast clouds,59,91,6.78,LK
149,Payson,40.0444,-111.7321,84.0,clear sky,26,0,1.99,US
150,Cortland,42.6001,-76.083,75.25,clear sky,59,1,13.8,US
151,Evensk,61.95,159.2333,38.62,overcast clouds,55,100,2.86,RU
152,Sarangani,5.4033,125.4636,83.46,broken clouds,75,56,10.31,PH
153,Iranshahr,27.2025,60.6848,91.74,clear sky,27,0,9.22,IR
154,Atar,20.5169,-13.0499,105.85,clear sky,14,0,17.27,MR
155,Tautira,-17.7333,-149.15,80.62,light rain,79,100,19.51,PF
156,Tura,25.5198,90.2201,73.24,few clouds,92,18,3.89,IN
157,Blackstone,42.0179,-71.5412,76.84,scattered clouds,63,30,4.0,US
158,Jamestown,42.097,-79.2353,76.01,overcast clouds,55,100,11.01,US
159,Kaitangata,-46.2817,169.8464,41.94,scattered clouds,83,47,6.35,NZ
160,Mahebourg,-20.4081,57.7,72.25,few clouds,73,20,12.66,MU
161,Berlevag,70.8578,29.0864,55.4,clear sky,71,0,12.66,NO
162,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.84,scattered clouds,75,25,12.97,BR
163,Ourossogui,15.6064,-13.3211,96.8,thunderstorm,46,40,4.61,SN
164,Tasiilaq,65.6145,-37.6368,29.21,clear sky,69,3,5.91,GL
165,Santo Antonio Do Sudoeste,-26.0736,-53.7253,93.63,clear sky,23,0,1.83,BR
166,Severo-Kurilsk,50.6789,156.125,47.1,few clouds,90,15,8.48,RU
167,Moose Factory,51.2585,-80.6094,48.2,overcast clouds,71,90,12.66,CA
168,Northam,51.0333,-4.2167,58.01,light rain,82,16,16.15,GB
169,Weligama,5.9667,80.4167,79.25,light rain,83,100,15.03,LK
170,Airai,-8.9266,125.4092,57.36,broken clouds,78,69,2.3,TL
171,Vallenar,-28.5708,-70.7581,89.04,clear sky,14,0,9.33,CL
172,Sironj,24.1,77.7,76.5,broken clouds,89,73,9.22,IN
173,San Nicolas,18.1725,120.5953,78.71,few clouds,89,20,4.61,PH
174,Marystown,47.1666,-55.1483,63.86,overcast clouds,100,100,10.0,CA
175,Ciudad Bolivar,8.1222,-63.5497,95.54,broken clouds,38,53,3.44,VE
176,Tabas,33.5959,56.9244,80.35,clear sky,23,0,4.09,IR
177,Perelyub,51.8667,50.3667,46.71,overcast clouds,74,100,10.76,RU
178,Arraial Do Cabo,-22.9661,-42.0278,80.56,few clouds,73,20,20.71,BR
179,Bandarbeyla,9.4942,50.8122,78.08,clear sky,84,0,12.97,SO
180,Beya,53.0533,90.9139,27.63,clear sky,74,3,3.74,RU
181,San Andres,12.5847,-81.7006,87.82,scattered clouds,70,40,12.66,CO
182,Wabag,-5.4781,143.7021,56.08,overcast clouds,99,100,0.34,PG
183,Matara,5.9485,80.5353,79.07,light rain,83,100,14.38,LK
184,Biak,-0.9131,122.8766,75.43,overcast clouds,83,96,6.93,ID
185,Husavik,66.0449,-17.3389,39.11,clear sky,80,3,9.55,IS
186,Torbay,47.6666,-52.7314,68.95,broken clouds,94,75,14.97,CA
