City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Arinos,BR,96.31,scattered clouds,-15.9169,-46.1056,
328,Uvat,RU,31.23,clear sky,59.1433,68.8953,
329,Belaya Gora,RU,25.97,overcast clouds,68.5333,146.4167,
333,Upernavik,GL,26.56,few clouds,72.7868,-56.1549,
335,Lavrentiya,RU,25.84,few clouds,65.5833,-171.0,
337,Haines Junction,CA,31.95,light snow,60.7522,-137.5108,
338,Oussouye,SN,93.38,moderate rain,12.485,-16.5469,
339,Pokrovskoye,RU,57.81,overcast clouds,47.4157,38.8971,
340,Ancud,CL,56.73,broken clouds,-41.8697,-73.8203,
341,North Bend,US,59.94,mist,43.4065,-124.2243,
343,Clyde River,CA,32.23,scattered clouds,70.4692,-68.5914,
348,Yar-Sale,RU,33.22,clear sky,66.8333,70.8333,
350,Abalak,RU,34.88,broken clouds,58.1286,68.5944,
351,Krasnogorskoye,RU,30.15,overcast clouds,52.2953,86.1979,
353,Sao Geraldo Do Araguaia,BR,97.86,overcast clouds,-6.4006,-48.555,
354,Tocache,PE,95.31,broken clouds,-8.1842,-76.5125,
359,Kozulka,UA,53.89,clear sky,50.0351,23.797,
360,Scottsbluff,US,90.03,clear sky,41.8666,-103.6672,
362,Bani,DO,92.64,scattered clouds,18.2833,-70.3333,
363,Kalur Kot,PK,92.23,clear sky,32.1564,71.2594,
365,Hay River,CA,46.38,broken clouds,60.8156,-115.7999,
368,Imeni Poliny Osipenko,RU,50.32,clear sky,52.4201,136.4853,
369,Serra Talhada,BR,93.96,overcast clouds,-7.9919,-38.2983,
373,Amos,CA,48.47,overcast clouds,48.5669,-78.1162,
375,Darhan,MN,38.53,overcast clouds,49.4867,105.9228,
378,La Ronge,CA,59.25,few clouds,55.1001,-105.2842,
380,San Patricio,US,92.07,overcast clouds,28.017,-97.5169,
381,Mount Isa,AU,56.97,scattered clouds,-20.7333,139.5,
382,Kastamonu,TR,48.7,clear sky,41.5,33.6667,
384,Liverpool,GB,56.68,scattered clouds,53.4106,-2.9779,
385,Hofn,IS,42.82,broken clouds,64.2539,-15.2082,
386,Ahipara,NZ,50.92,light rain,-35.1667,173.1667,
388,Kangaatsiaq,GL,26.56,clear sky,68.3065,-53.4641,
391,Necochea,AR,56.03,clear sky,-38.5473,-58.7368,
393,Killybegs,IE,49.71,overcast clouds,54.6333,-8.45,
395,Ostrovnoy,RU,45.54,overcast clouds,68.0531,39.5131,
396,Solnechnyy,RU,53.44,scattered clouds,50.7214,136.6319,
397,Troitsko-Pechorsk,RU,36.05,overcast clouds,62.7084,56.1964,
402,Nuevo Progreso,MX,91.6,broken clouds,23.1667,-97.95,
411,Ust-Nera,RU,30.29,overcast clouds,64.5667,143.2,
412,Otane,NZ,47.01,overcast clouds,-39.8833,176.6333,
416,Fort Nelson,CA,42.39,moderate rain,58.8053,-122.7002,
425,Grindavik,IS,39.15,broken clouds,63.8424,-22.4338,
426,Iquitos,PE,93.24,broken clouds,-3.7481,-73.2472,
427,Mayya,RU,34.92,overcast clouds,61.7333,130.2811,
428,Krasnyy Chikoy,RU,33.48,overcast clouds,50.3643,108.7512,
429,Erdenet,MN,33.06,light snow,49.0333,104.0833,
431,Hereford,GB,57.06,clear sky,52.0568,-2.7148,
437,Vardo,NO,51.78,clear sky,70.3705,31.1107,
439,Xining,CN,50.72,clear sky,36.6167,101.7667,
441,Bereda,ES,58.57,overcast clouds,43.2686,-7.5406,
443,Whitianga,NZ,47.48,broken clouds,-36.8333,175.7,
445,Suntar,RU,34.34,overcast clouds,62.1444,117.6319,
451,Severnoye,RU,37.98,overcast clouds,56.3491,78.3619,
454,Narsaq,GL,36.81,clear sky,60.9167,-46.05,
455,Zheleznodorozhnyy,RU,48.42,light rain,55.7503,38.0042,
460,Ust-Tsilma,RU,41.5,overcast clouds,65.441,52.1498,
470,Sorland,NO,53.46,scattered clouds,67.667,12.6934,
471,Nogliki,RU,49.3,overcast clouds,51.8333,143.1667,
474,Pendencias,BR,95.74,broken clouds,-5.26,-36.7222,
475,Wagar,SD,95.54,broken clouds,16.1525,36.2032,
476,Deputatskiy,RU,18.66,scattered clouds,69.3,139.9,
479,Kaeo,NZ,43.32,clear sky,-35.1,173.7833,
483,Verkhnyaya Inta,RU,36.59,overcast clouds,65.9811,60.3094,
487,Falun,SE,52.21,scattered clouds,60.6036,15.626,
494,Melton Mowbray,GB,56.82,clear sky,52.7659,-0.8869,
495,Emporia,US,90.23,scattered clouds,38.4039,-96.1817,
496,Lisakovsk,KZ,37.42,overcast clouds,52.5369,62.4936,
501,Neryungri,RU,38.75,light rain,56.6709,124.6491,
502,Omsukchan,RU,28.98,overcast clouds,62.5333,155.8,
506,Saint Stephen,GB,57.74,few clouds,50.3333,-4.9,
509,Kirs,RU,34.02,few clouds,59.3388,52.2447,
514,Kedougou,SN,91.98,thunderstorm,12.5579,-12.1743,
515,Jumla,NP,59.31,overcast clouds,29.2747,82.1838,
520,Hovd,MN,30.99,overcast clouds,48.0056,91.6419,
523,Murchison,NZ,38.46,few clouds,-41.8,172.3333,
524,Port Hardy,CA,51.8,light intensity shower rain,50.6996,-127.4199,
527,Maniitsoq,GL,35.71,clear sky,65.4167,-52.9,
530,Mezen,RU,43.86,overcast clouds,65.8522,44.24,
532,Kinsale,IE,51.24,few clouds,51.7075,-8.5306,
536,Arlit,NE,91.49,clear sky,18.7369,7.3853,
